user,predict_rank,points_count,sequence_count,diversity,,user,predict_rank,points_count,sequence_count,diversity,,total_rank,total_counts,total_diversity,,,
30,3,300,5,7,,230,2,362,5,9,,5,662,16,,"user: 37, user_cluster_num: 15, gt_cluster_num: 20",
34,2,49,6,10,,234,4,43,5,15,,6,92,25,,"user: 38, user_cluster_num: 17, gt_cluster_num: 15",
35,1,236,4,9,,235,1,150,4,9,,2,386,18,,"user: 39, user_cluster_num: 22, gt_cluster_num: 22",
36,3,50,3,9,,236,3,62,4,9,,6,112,18,,"user: 40, user_cluster_num: 11, gt_cluster_num: 13",
37,1,46,6,12,,237,3,49,6,19,,4,95,31,,"user: 41, user_cluster_num: 20, gt_cluster_num: 20",
38,1,112,4,9,,238,2,67,5,8,,3,179,17,,"user: 42, user_cluster_num: 7, gt_cluster_num: 17",
39,7,75,8,9,,239,7,183,4,6,,14,258,15,,"user: 43, user_cluster_num: 15, gt_cluster_num: 19",
40,4,17,3,7,,240,2,31,2,4,,6,48,11,,"user: 44, user_cluster_num: 11, gt_cluster_num: 14",
41,3,119,5,9,,241,1,168,3,4,,4,287,13,,"user: 52, user_cluster_num: 16, gt_cluster_num: 23",
42,2,14,3,5,,242,7,71,7,9,,9,85,14,,"user: 62, user_cluster_num: 11, gt_cluster_num: 13",
43,1,33,2,3,,243,7,44,5,19,,8,77,22,,"user: 65, user_cluster_num: 13, gt_cluster_num: 16",
44,2,34,3,3,,244,4,29,5,5,,6,63,8,,"user: 67, user_cluster_num: 9, gt_cluster_num: 15",
51,5,22,3,7,,251,4,11,4,7,,9,33,14,,"user: 68, user_cluster_num: 25, gt_cluster_num: 25",
52,6,74,4,8,,252,5,85,4,13,,11,159,21,,"user: 71, user_cluster_num: 9, gt_cluster_num: 13",
56,4,13,1,3,,256,3,3,2,2,,7,16,5,,"user: 73, user_cluster_num: 9, gt_cluster_num: 5",
62,3,38,4,6,,262,9,103,8,10,,12,141,16,,"user: 78, user_cluster_num: 8, gt_cluster_num: 7",
65,2,31,1,3,,265,1,35,2,3,,3,66,6,,"user: 82, user_cluster_num: 7, gt_cluster_num: 11",
67,2,12,6,7,,267,9,47,8,13,,11,59,20,,"user: 84, user_cluster_num: 22, gt_cluster_num: 20",
68,5,267,5,7,,268,2,246,3,5,,7,513,12,,"user: 85, user_cluster_num: 27, gt_cluster_num: 12",
71,2,15,3,5,,271,5,47,5,9,,7,62,14,,"user: 89, user_cluster_num: 7, gt_cluster_num: 2",
73,3,23,2,5,,273,8,46,4,7,,11,69,12,,"user: 91, user_cluster_num: 3, gt_cluster_num: 6",
74,3,8,3,5,,274,2,7,5,6,,5,15,11,,"user: 92, user_cluster_num: 15, gt_cluster_num: 11",
78,1,33,1,1,,278,2,29,2,2,,3,62,3,,"user: 96, user_cluster_num: 13, gt_cluster_num: 13",
82,4,13,3,5,,282,2,79,1,1,,6,92,6,,"user: 104, user_cluster_num: 16, gt_cluster_num: 17",
84,3,112,6,7,,284,6,60,7,12,,9,172,19,,"user: 112, user_cluster_num: 12, gt_cluster_num: 19",
85,3,156,5,7,,285,5,98,8,9,,8,254,16,,"user: 115, user_cluster_num: 9, gt_cluster_num: 11",
89,5,16,2,4,,289,2,7,2,2,,7,23,6,,"user: 119, user_cluster_num: 12, gt_cluster_num: 12",
91,3,17,1,3,,291,2,25,3,5,,5,42,8,,"user: 125, user_cluster_num: 6, gt_cluster_num: 11",
92,4,40,2,3,,292,4,54,2,2,,8,94,5,,"user: 126, user_cluster_num: 20, gt_cluster_num: 19",
96,3,59,2,7,,296,4,36,6,12,,7,95,19,,"user: 128, user_cluster_num: 31, gt_cluster_num: 29",
103,2,10,2,4,,303,8,10,2,5,,10,20,9,,"user: 134, user_cluster_num: 9, gt_cluster_num: 7",
104,4,48,5,13,,304,3,70,4,7,,7,118,20,,"user: 140, user_cluster_num: 16, gt_cluster_num: 14",
111,5,8,1,3,,311,3,4,2,2,,8,12,5,,"user: 141, user_cluster_num: 3, gt_cluster_num: 6",
112,3,41,6,11,,312,1,119,2,5,,4,160,16,,"user: 142, user_cluster_num: 14, gt_cluster_num: 5",
113,1,6,1,1,,313,2,11,1,2,,3,17,3,,"user: 144, user_cluster_num: 21, gt_cluster_num: 24",
115,5,20,4,4,,315,1,32,1,1,,6,52,5,,"user: 147, user_cluster_num: 5, gt_cluster_num: 4",
119,2,46,2,2,,319,2,44,2,2,,4,90,4,,"user: 153, user_cluster_num: 32, gt_cluster_num: 28",
125,3,12,2,5,,325,2,24,4,5,,5,36,10,,"user: 163, user_cluster_num: 31, gt_cluster_num: 30",
126,5,76,10,14,,326,3,101,5,10,,8,177,24,,"user: 167, user_cluster_num: 25, gt_cluster_num: 21",
128,4,398,7,8,,328,3,331,5,7,,7,729,15,,"user: 168, user_cluster_num: 4, gt_cluster_num: 11",
134,4,20,4,6,,334,3,14,4,6,,7,34,12,,"user: 174, user_cluster_num: 10, gt_cluster_num: 10",
140,3,35,9,16,,340,1,50,9,11,,4,85,27,,"user: 179, user_cluster_num: 14, gt_cluster_num: 5",
141,4,7,2,4,,341,4,8,3,5,,8,15,9,,,
142,2,39,3,4,,342,6,47,3,4,,8,86,8,,,
144,4,134,8,13,,344,2,166,5,8,,6,300,21,,,
147,4,14,3,5,,347,3,10,2,4,,7,24,9,,,
153,13,750,8,9,,353,3,575,5,5,,16,1325,14,,,
163,7,268,5,8,,363,2,234,3,4,,9,502,12,,,
167,1,193,9,11,,367,4,132,6,10,,5,325,21,,,
168,4,11,3,4,,368,1,46,1,1,,5,57,5,,,
169,1,2,1,1,,369,2,5,1,2,,3,7,3,,,
174,5,22,3,7,,374,4,19,3,4,,9,41,11,,,
179,5,44,5,12,,379,2,7,2,4,,7,51,16,,,
200,1,257,4,6,,,,,,,,,,,,,
201,2,42,2,2,,,,,,,,,,,,,
202,2,50,3,4,,,,,,,,,,,,,
203,4,411,5,8,,,,,,,,,,,,,
204,4,553,6,8,,,,,,,,,,,,,
205,1,27,2,3,,,,,,,,,,,,,
207,1,31,2,4,,,,,,,,,,,,,
208,4,23,2,5,,,,,,,,,,,,,
209,1,55,2,6,,,,,,,,,,,,,
210,4,17,5,6,,,,,,,,,,,,,
211,2,53,4,13,,,,,,,,,,,,,
212,1,51,1,2,,,,,,,,,,,,,
213,1,14,5,7,,,,,,,,,,,,,
214,1,135,5,6,,,,,,,,,,,,,
215,4,43,4,12,,,,,,,,,,,,,
216,3,23,3,6,,,,,,,,,,,,,
217,3,363,3,5,,,,,,,,,,,,,
218,2,25,1,3,,,,,,,,,,,,,
219,3,11,2,5,,,,,,,,,,,,,
220,2,7,1,1,,,,,,,,,,,,,
222,2,189,5,9,,,,,,,,,,,,,
223,1,2,1,2,,,,,,,,,,,,,
224,7,122,5,12,,,,,,,,,,,,,
225,3,129,6,9,,,,,,,,,,,,,
228,7,34,3,6,,,,,,,,,,,,,
230,2,362,5,9,,,,,,,,,,,,,
234,4,43,5,15,,,,,,,,,,,,,
235,1,150,4,9,,,,,,,,,,,,,
236,3,62,4,9,,,,,,,,,,,,,
237,3,49,6,19,,,,,,,,,,,,,
238,2,67,5,8,,,,,,,,,,,,,
239,7,183,4,6,,,,,,,,,,,,,
240,2,31,2,4,,,,,,,,,,,,,
241,1,168,3,4,,,,,,,,,,,,,
242,7,71,7,9,,,,,,,,,,,,,
243,7,44,5,19,,,,,,,,,,,,,
244,4,29,5,5,,,,,,,,,,,,,
251,4,11,4,7,,,,,,,,,,,,,
252,5,85,4,13,,,,,,,,,,,,,
256,3,3,2,2,,,,,,,,,,,,,
262,9,103,8,10,,,,,,,,,,,,,
265,1,35,2,3,,,,,,,,,,,,,
267,9,47,8,13,,,,,,,,,,,,,
268,2,246,3,5,,,,,,,,,,,,,
271,5,47,5,9,,,,,,,,,,,,,
273,8,46,4,7,,,,,,,,,,,,,
274,2,7,5,6,,,,,,,,,,,,,
278,2,29,2,2,,,,,,,,,,,,,
282,2,79,1,1,,,,,,,,,,,,,
284,6,60,7,12,,,,,,,,,,,,,
285,5,98,8,9,,,,,,,,,,,,,
289,2,7,2,2,,,,,,,,,,,,,
291,2,25,3,5,,,,,,,,,,,,,
292,4,54,2,2,,,,,,,,,,,,,
296,4,36,6,12,,,,,,,,,,,,,
303,8,10,2,5,,,,,,,,,,,,,
304,3,70,4,7,,,,,,,,,,,,,
311,3,4,2,2,,,,,,,,,,,,,
312,1,119,2,5,,,,,,,,,,,,,
313,2,11,1,2,,,,,,,,,,,,,
315,1,32,1,1,,,,,,,,,,,,,
319,2,44,2,2,,,,,,,,,,,,,
325,2,24,4,5,,,,,,,,,,,,,
326,3,101,5,10,,,,,,,,,,,,,
328,3,331,5,7,,,,,,,,,,,,,
334,3,14,4,6,,,,,,,,,,,,,
340,1,50,9,11,,,,,,,,,,,,,
341,4,8,3,5,,,,,,,,,,,,,
342,6,47,3,4,,,,,,,,,,,,,
344,2,166,5,8,,,,,,,,,,,,,
347,3,10,2,4,,,,,,,,,,,,,
353,3,575,5,5,,,,,,,,,,,,,
363,2,234,3,4,,,,,,,,,,,,,
367,4,132,6,10,,,,,,,,,,,,,
368,1,46,1,1,,,,,,,,,,,,,
369,2,5,1,2,,,,,,,,,,,,,
374,4,19,3,4,,,,,,,,,,,,,
379,2,7,2,4,,,,,,,,,,,,,
,,86.50641026,,,,,,,,,,,,,,,
